0,10.3.0.22,6709,2, blob,CPU,8.5,MEM,33.86
0,10.3.0.22,6709,2, table,CPU,4.0,MEM,14.0
1,10.3.0.22,6710,2, blob,CPU,8.5,MEM,33.86
0,10.3.0.22,6710,1, fileWrite,CPU,59.1,MEM,23.4
1,10.3.0.22,6710,1, table,CPU,3.0,MEM,14.0
2,10.3.0.22,6711,2, blob,CPU,8.5,MEM,33.86
0,10.3.0.22,6711,1, pi,CPU,92.5,MEM,14.8
2,10.3.0.22,6711,1, table,CPU,3.0,MEM,14.0
3,10.3.0.22,6712,2, blob,CPU,8.5,MEM,33.86
3,10.3.0.22,6712,1, table,CPU,3.0,MEM,14.0
8,10.3.0.30,6717,2, blob,CPU,8.5,MEM,33.86
8,10.3.0.30,6717,1, table,CPU,3.0,MEM,14.0
9,10.3.0.30,6718,2, blob,CPU,8.5,MEM,33.86
9,10.3.0.30,6718,2, table,CPU,4.0,MEM,14.0
10,10.3.0.30,6719,2, blob,CPU,8.5,MEM,33.86
10,10.3.0.30,6719,1, table,CPU,3.0,MEM,14.0
11,10.3.0.30,6720,2, blob,CPU,8.5,MEM,33.86
2,10.3.0.30,6720,1, pi,CPU,92.5,MEM,14.8
11,10.3.0.30,6720,1, table,CPU,3.0,MEM,14.0
12,10.3.0.31,6725,2, blob,CPU,8.5,MEM,33.86
0,10.3.0.31,6725,1, parse,CPU,85,MEM,44
12,10.3.0.31,6725,1, table,CPU,3.0,MEM,14.0
13,10.3.0.31,6726,2, blob,CPU,8.5,MEM,33.86
13,10.3.0.31,6726,2, table,CPU,4.0,MEM,14.0
14,10.3.0.31,6727,2, blob,CPU,8.5,MEM,33.86
14,10.3.0.31,6727,2, table,CPU,4.0,MEM,14.0
15,10.3.0.31,6728,2, blob,CPU,8.5,MEM,33.86
15,10.3.0.31,6728,1, table,CPU,3.0,MEM,14.0
4,10.3.0.25,6733,2, blob,CPU,8.5,MEM,33.86
4,10.3.0.25,6733,2, table,CPU,4.0,MEM,14.0
5,10.3.0.25,6734,2, blob,CPU,8.5,MEM,33.86
5,10.3.0.25,6734,1, table,CPU,3.0,MEM,14.0
6,10.3.0.25,6735,2, blob,CPU,8.5,MEM,33.86
6,10.3.0.25,6735,2, table,CPU,4.0,MEM,14.0
7,10.3.0.25,6736,2, blob,CPU,8.5,MEM,33.86
1,10.3.0.25,6736,1, pi,CPU,92.5,MEM,14.8
7,10.3.0.25,6736,1, table,CPU,3.0,MEM,14.0
16,10.3.0.35,6741,2, blob,CPU,8.5,MEM,33.86
3,10.3.0.35,6741,1, pi,CPU,92.5,MEM,14.8
16,10.3.0.35,6741,1, table,CPU,3.0,MEM,14.0
17,10.3.0.35,6742,2, blob,CPU,8.5,MEM,33.86
17,10.3.0.35,6742,2, table,CPU,4.0,MEM,14.0
18,10.3.0.35,6743,2, blob,CPU,8.5,MEM,33.86
18,10.3.0.35,6743,1, table,CPU,3.0,MEM,14.0
19,10.3.0.35,6744,2, blob,CPU,8.5,MEM,33.86
19,10.3.0.35,6744,1, table,CPU,3.0,MEM,14.0
